# Omega_Matter_0 = 0.302   | Omega_Lambda_0 = 0.698   | Omega_K_0 = 0.0   | h = 1.0   |
# RA  DEC  CZ_obs  Mr  HaloID  logMHalo  NGal_H  FLAG  CZ_real  DIST_C  Vp_tot  Vp_tang  Morph  logMstar  r_mag  u_mag  FSMGR  Gal_Match_flag  u_r  mhi_mass  GroupID  Group_NGals  Group_Rproj  Group_CZdisp  Group_logMHalo  Group_Gal_Type
  138.950501     49.766487     3656.28055     -19.159         282697     12.227           2       0    4157.197110    2.80529986e-01     532.42788     180.44957        LT      9.490000    -19.169785    -17.915462      1.133117         ECO      1.254322    2.454712e+09              12           2      0.130372     40.150000     12.149           0
  145.370805     24.833488     2601.81662     -19.604         282723     12.177           3       0    2677.370936    1.53623549e-01     292.24987     282.31460        LT     10.000000    -19.622513    -17.579506      0.065132         ECO      2.043007    4.897791e+08              13           1      0.000000      0.000000     11.599           1
  135.134024     46.477611     3658.44177     -20.172         282776     11.675           1       1    4155.831904    0.00000000e+00     536.61774     201.39924        LT     10.093295    -20.154722    -18.944000      1.293450         ECO      1.210722    9.332556e+09              14           1      0.000000      0.000000     11.801           1
  135.812900     46.573182     3503.62320     -18.793         282779     11.360           1       1    4126.863319    0.00000000e+00     646.84210     173.13709        LT      9.588027    -18.806616    -17.410954      0.752197         ECO      1.395662    2.951213e+09              15           2      0.090258     73.240000     12.077           0
  135.791237     46.371980     3608.43558     -20.721         282781     11.892           1       1    4136.444575    0.00000000e+00     601.72144     288.57442        LT     10.626338    -20.698931    -18.936195      0.514906         ECO      1.762735    2.454707e+09              15           2      0.090258     73.240000     12.077           1
  141.414228     47.734262     3592.98311     -19.252         283291     11.806           3       0    4055.758985    1.26638503e-01     554.66203     305.75883        LT      9.130000    -19.249716    -18.046387      1.687002         ECO      1.203329    3.548138e+09              16           3      0.054441     14.310000     12.221           0
  141.300745     47.624570     3621.47612     -19.557         283291     11.806           3       0    4059.376034    1.94324639e-02     552.62307     337.09928        LT      9.870000    -19.562654    -17.841217      1.107406         ECO      1.721437    2.454711e+09              16           3      0.054441     14.310000     12.221           0
  141.315701     47.640932     3602.74839     -20.753         283291     11.806           3       1    4059.372847    0.00000000e+00     542.21084     292.38109        ET     10.798794    -20.915522    -18.425388      0.449993         ECO      2.490133    2.238722e+09              16           3      0.054441     14.310000     12.221           1
  156.779109     16.273740     2627.82368     -19.964         283719     11.730           2       1    2797.614689    0.00000000e+00     384.83616     345.35472        ET     10.367506    -20.006519    -17.689159      0.079864         ECO      2.317360    6.760824e+08              17           2      0.001433     35.860000     11.928           1
  156.768729     16.272909     2576.67445     -19.460         283719     11.730           2       0    2798.848454    1.89218125e-02     363.92419     288.23519        LT      9.200000    -19.323427    -18.246895      6.610871         ECO      1.076532    9.772389e+09              17           2      0.001433     35.860000     11.928           0
